player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season,master_id,player_name_us,player_name_tm,player_id_tm,goals_p90,expectedGoals_p90,shotsOnTarget_p90,totalShots_p90,bigChancesMissed_p90,bigChancesCreated_p90,goalConversionPercentage_p90,headedGoals_p90,shotsFromInsideTheBox_p90,assists_p90,expectedAssists_p90,keyPasses_p90,totalPasses_p90,accuratePasses_p90,accuratePassesPercentage_p90,accurateLongBalls_p90,accurateLongBallsPercentage_p90,accurateCrosses_p90,accurateCrossesPercentage_p90,totalCross_p90,accurateFinalThirdPasses_p90,passToAssist_p90,successfulDribbles_p90,successfulDribblesPercentage_p90,totalContest_p90,touches_p90,dispossessed_p90,possessionLost_p90,possessionWonAttThird_p90,wasFouled_p90,ballRecovery_p90,offsides_p90,tackles_p90,tacklesWon_p90,interceptions_p90,blockedShots_p90,clearances_p90,outfielderBlocks_p90,errorLeadToGoal_p90,errorLeadToShot_p90,groundDuelsWon_p90,groundDuelsWonPercentage_p90,aerialDuelsWon_p90,aerialDuelsWonPercentage_p90,dribbledPast_p90,duelLost_p90,fouls_p90,yellowCards_p90,redCards_p90,penaltyConceded_p90,penaltyWon_p90,saves_p90,goalsPrevented_p90,cleanSheet_p90,goalsConceded_p90,penaltySave_p90,penaltyFaced_p90,highClaims_p90,runsOut_p90,successfulRunsOut_p90,punches_p90,savedShotsFromInsideTheBox_p90,savedShotsFromOutsideTheBox_p90,crossesNotClaimed_p90,penaltiesTaken_p90,penaltyGoals_p90,rating_p90,accumulation_p90,shots_us,xGChain_us,xGBuildup_us,xA_us,ppda,oppda,deep,odc,xg,xg_against,np_xg,xp,position_tm,age_tm,height,nationality,market_value,contract_expires,date_of_birth,joined,signed_from,postes_list
Bruno Fernandes,Manchester United,35,3066,9,10.83,24,85,8,33,10.59,0,39,21,12.32,137,1994,1639,82.2,138,60.0,55,30.05,183,662,1,15,41.67,36,2647,30,594,16,35,167,4,54,32,20,30,42,5.0,0,3,103,47.25,21,38.89,39,148,25,5,0,1,0,0,,7,46,0,0,0,0,0,0,0,0,0,6,4,7.61,England Premier League,total,25/26,3fb711597ea1,Bruno Fernandes,Bruno Fernandes,240306.0,0.26,0.32,0.7,2.5,0.23,0.97,10.59,0.0,1.14,0.62,0.36,4.02,58.53,48.11,82.2,4.05,60.0,1.61,30.05,5.37,19.43,0.03,0.44,41.67,1.06,77.7,0.88,17.44,0.47,1.03,4.9,0.12,1.59,0.94,0.59,0.88,1.23,0.15,0.0,0.09,3.02,47.25,0.62,38.89,1.14,4.34,0.73,0.15,0.0,0.03,0.0,0.0,,0.21,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.12,7.61,per90,85.0,25.94416971784085,11.6638073772192,17.75713463127613,11.43210841499807,12.13887487890089,285.0,266.0,72.18836999999999,50.281424,67.621346,64.446,Attacking Midfield,31.0,1.79,Portugal,€40.00m,"Jun 30, 2027","Sep 8, 1994","Jan 29, 2020",,"[""AM""]"
Declan Rice,Arsenal,36,3099,4,3.17,13,40,3,17,10.0,1,13,5,6.96,64,2136,1865,87.31,88,48.09,47,26.4,178,534,1,14,50.0,28,2769,18,498,12,11,180,1,70,35,37,13,78,12.0,1,0,95,56.89,50,67.57,14,96,26,3,0,0,0,0,,13,25,0,0,0,0,0,0,0,0,0,0,0,7.46,England Premier League,total,25/26,9488237df831,Declan Rice,Declan Rice,357662.0,0.12,0.09,0.38,1.16,0.09,0.49,10.0,0.03,0.38,0.15,0.2,1.86,62.03,54.16,87.31,2.56,48.09,1.36,26.4,5.17,15.51,0.03,0.41,50.0,0.81,80.42,0.52,14.46,0.35,0.32,5.23,0.03,2.03,1.02,1.07,0.38,2.27,0.35,0.03,0.0,2.76,56.89,1.45,67.57,0.41,2.79,0.76,0.09,0.0,0.0,0.0,0.0,,0.38,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46,per90,40.0,18.490907587111,12.956868270412087,8.159449681639671,10.32583157115106,15.205794222229812,349.0,142.0,77.486613,33.1338052,74.441933,79.8749,Central Midfield,27.0,1.88,England,€120.00m,"Jun 30, 2028","Jan 14, 1999","Jul 15, 2023",,"[""CM""]"
Bruno Guimarães,Newcastle United,29,2455,9,5.6,23,42,4,7,21.43,2,20,5,4.98,46,1451,1250,86.15,81,60.45,21,25.61,82,446,1,18,37.5,48,2034,46,407,18,75,135,2,62,43,15,6,36,3.0,0,0,155,52.01,13,37.14,26,165,45,6,0,0,2,0,,6,37,0,0,0,0,0,0,0,0,0,2,2,7.45,England Premier League,total,25/26,948d1bda62c1,Bruno Guimarães,Bruno Guimarães,520624.0,0.33,0.21,0.84,1.54,0.15,0.26,21.43,0.07,0.73,0.18,0.18,1.69,53.19,45.82,86.15,2.97,60.45,0.77,25.61,3.01,16.35,0.04,0.66,37.5,1.76,74.57,1.69,14.92,0.66,2.75,4.95,0.07,2.27,1.58,0.55,0.22,1.32,0.11,0.0,0.0,5.68,52.01,0.48,37.14,0.95,6.05,1.65,0.22,0.0,0.0,0.07,0.0,,0.22,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,7.45,per90,42.0,14.09811718389392,9.365775737911465,3.869310455396771,10.6992005648607,12.218485516125575,274.0,280.0,60.613249,57.312037,56.046229,54.8333,Central Midfield,28.0,1.82,Brazil,€75.00m,"Jun 30, 2028","Nov 16, 1997","Jan 30, 2022",,"[""CM""]"
Rodri,Manchester City,21,1513,1,1.13,3,16,0,2,6.25,1,8,0,2.59,25,1618,1458,90.11,90,68.7,1,16.67,6,340,0,7,46.67,15,1869,11,203,10,31,107,0,41,22,14,6,41,3.0,0,3,79,62.2,39,78.0,15,59,14,3,0,0,0,0,,3,15,0,0,0,0,0,0,0,0,0,0,0,7.43,England Premier League,total,25/26,ea1f410a72de,Rodri,Rodri,357565.0,0.06,0.07,0.18,0.95,0.0,0.12,6.25,0.06,0.48,0.0,0.15,1.49,96.25,86.73,90.11,5.35,68.7,0.06,16.67,0.36,20.22,0.0,0.42,46.67,0.89,111.18,0.65,12.08,0.59,1.84,6.36,0.0,2.44,1.31,0.83,0.36,2.44,0.18,0.0,0.18,4.7,62.2,2.32,78.0,0.89,3.51,0.83,0.18,0.0,0.0,0.0,0.0,,0.18,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43,per90,17.0,12.13792721182108,10.705944895744324,2.2761295437812805,11.547096602026013,14.782723561610322,409.0,162.0,79.359555,46.492602,76.314868,73.9454,Defensive Midfield,29.0,1.91,Spain,€65.00m,"Jun 30, 2027","Jun 22, 1996","Jul 4, 2019",,"[""DM""]"
Jérémy Doku,Manchester City,30,1784,5,2.75,15,39,4,13,12.82,0,27,5,6.18,60,772,640,82.9,14,63.64,16,27.12,59,386,1,84,56.76,148,1319,49,378,20,61,88,3,23,15,13,15,2,0.0,0,0,167,53.53,4,33.33,10,153,23,0,0,0,2,0,,2,18,0,0,0,0,0,0,0,0,0,0,0,7.39,England Premier League,total,25/26,39c35b53c428,Jéremy Doku,Jérémy Doku,486049.0,0.25,0.14,0.76,1.97,0.2,0.66,12.82,0.0,1.36,0.25,0.31,3.03,38.95,32.29,82.9,0.71,63.64,0.81,27.12,2.98,19.47,0.05,4.24,56.76,7.47,66.54,2.47,19.07,1.01,3.08,4.44,0.15,1.16,0.76,0.66,0.76,0.1,0.0,0.0,0.0,8.42,53.53,0.2,33.33,0.5,7.72,1.16,0.0,0.0,0.0,0.1,0.0,,0.1,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,per90,39.0,18.843964545056224,9.702232458628714,7.553412737324834,11.547096602026013,14.782723561610322,409.0,162.0,79.359555,46.492602,76.314868,73.9454,Left Winger,23.0,1.73,Belgium,€65.00m,"Jun 30, 2028","May 27, 2002","Aug 24, 2023",,"[""W""]"
Elliot Anderson,Nottingham Forest,38,3334,4,2.9,10,44,1,9,9.09,0,17,4,4.79,55,2383,2038,85.52,119,53.36,51,28.98,176,582,1,50,54.35,92,3300,62,656,25,80,306,2,104,63,41,18,49,16.0,0,4,231,53.72,66,58.93,40,245,57,8,0,1,0,0,,7,50,0,0,0,0,0,0,0,0,0,1,1,7.34,England Premier League,total,25/26,73278cb9235e,Elliot Anderson,Elliot Anderson,567576.0,0.11,0.08,0.27,1.19,0.03,0.24,9.09,0.0,0.46,0.11,0.13,1.48,64.33,55.01,85.52,3.21,53.36,1.38,28.98,4.75,15.71,0.03,1.35,54.35,2.48,89.08,1.67,17.71,0.67,2.16,8.26,0.05,2.81,1.7,1.11,0.49,1.32,0.43,0.0,0.11,6.24,53.72,1.78,58.93,1.08,6.61,1.54,0.22,0.0,0.03,0.0,0.0,,0.19,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,7.34,per90,44.0,16.282568987458944,11.95789561793208,4.842637189663947,14.889913525297573,10.191859028055797,210.0,294.0,48.936246,64.739616,46.652752,42.2415,Central Midfield,23.0,1.79,England,€60.00m,"Jun 30, 2029","Nov 6, 2002","Jul 1, 2024",,"[""CM""]"
Granit Xhaka,Sunderland,34,2903,1,1.02,5,21,0,9,4.76,0,5,6,3.71,34,1807,1512,83.67,138,54.98,23,23.23,99,441,0,11,45.83,24,2295,17,429,9,41,179,0,50,33,29,6,85,20.0,0,3,99,59.64,56,61.54,16,102,23,8,0,0,0,0,,9,39,0,0,0,0,0,0,0,0,0,0,0,7.33,England Premier League,total,25/26,38467835e646,Granit Xhaka,Granit Xhaka,111455.0,0.03,0.03,0.16,0.65,0.0,0.28,4.76,0.0,0.16,0.19,0.12,1.05,56.02,46.88,83.67,4.28,54.98,0.71,23.23,3.07,13.67,0.0,0.34,45.83,0.74,71.15,0.53,13.3,0.28,1.27,5.55,0.0,1.55,1.02,0.9,0.19,2.64,0.62,0.0,0.09,3.07,59.64,1.74,61.54,0.5,3.16,0.71,0.25,0.0,0.0,0.0,0.0,,0.28,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,per90,21.0,10.455324796028435,8.981416845694184,3.7049803622066975,13.660759223603952,11.04979268639203,212.0,305.0,43.136381,60.336975,39.3305746,42.0286,Defensive Midfield,33.0,1.86,Switzerland,€10.00m,"Jun 30, 2028","Sep 27, 1992","Jul 30, 2025",,"[""DM""]"
Erling Haaland,Manchester City,35,2958,27,25.43,59,126,30,9,21.43,3,114,8,2.85,25,384,252,65.63,4,28.57,1,33.33,3,107,0,17,53.13,32,778,23,225,13,25,41,5,15,9,5,24,42,1.0,0,0,57,46.34,73,61.86,6,111,24,2,0,0,0,0,,9,32,0,0,0,0,0,0,0,0,0,4,3,7.31,England Premier League,total,25/26,4c9323455dd5,Erling Haaland,Erling Haaland,418560.0,0.82,0.77,1.8,3.83,0.91,0.27,21.43,0.09,3.47,0.24,0.09,0.76,11.68,7.67,65.63,0.12,28.57,0.03,33.33,0.09,3.26,0.0,0.52,53.13,0.97,23.67,0.7,6.85,0.4,0.76,1.25,0.15,0.46,0.27,0.15,0.73,1.28,0.03,0.0,0.0,1.73,46.34,2.22,61.86,0.18,3.38,0.73,0.06,0.0,0.0,0.0,0.0,,0.27,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,7.31,per90,125.0,32.735352732241154,5.163548586890101,5.507687093690038,11.547096602026013,14.782723561610322,409.0,162.0,79.359555,46.492602,76.314868,73.9454,Centre-Forward,25.0,1.95,Norway,€200.00m,"Jun 30, 2034","Jul 21, 2000","Jul 1, 2022",,"[""CF""]"
Marc Guéhi,Manchester City,35,3150,3,4.12,9,32,6,5,9.38,1,30,3,2.32,18,2309,2070,89.65,77,40.96,3,17.65,17,398,0,7,63.64,11,2808,18,300,5,38,138,0,46,31,50,8,164,23.0,2,0,91,61.49,103,65.19,11,112,25,6,0,0,1,0,,14,35,0,0,0,0,0,0,0,0,0,0,0,7.3,England Premier League,total,25/26,3f4531b4c553,Marc Guehi,Marc Guéhi,392757.0,0.09,0.12,0.26,0.91,0.17,0.14,9.38,0.03,0.86,0.09,0.07,0.51,65.97,59.14,89.65,2.2,40.96,0.09,17.65,0.49,11.37,0.0,0.2,63.64,0.31,80.23,0.51,8.57,0.14,1.09,3.94,0.0,1.31,0.89,1.43,0.23,4.69,0.66,0.06,0.0,2.6,61.49,2.94,65.19,0.31,3.2,0.71,0.17,0.0,0.0,0.03,0.0,,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,per90,32.0,17.67278046440333,15.488122279755771,2.726592278573662,11.547096602026013,14.782723561610322,409.0,162.0,79.359555,46.492602,76.314868,73.9454,Centre-Back,25.0,1.82,England,€65.00m,"Jun 30, 2031","Jul 13, 2000","Jan 19, 2026",,"[""CB""]"
Gabriel Magalhães,Arsenal,32,2751,3,2.93,7,27,4,5,11.11,1,22,4,1.82,7,1733,1528,88.17,78,44.57,1,20.0,5,205,0,1,50.0,2,2158,4,234,2,34,64,0,38,20,23,10,182,34.0,1,2,72,69.9,99,62.26,7,91,21,4,0,0,0,0,,17,20,0,0,0,0,0,0,0,0,0,0,0,7.27,England Premier League,total,25/26,e120c1c638cf,Gabriel,Gabriel,435338.0,0.1,0.1,0.23,0.88,0.13,0.16,11.11,0.03,0.72,0.13,0.06,0.23,56.7,49.99,88.17,2.55,44.57,0.03,20.0,0.16,6.71,0.0,0.03,50.0,0.07,70.6,0.13,7.66,0.07,1.11,2.09,0.0,1.24,0.65,0.75,0.33,5.95,1.11,0.03,0.07,2.36,69.9,3.24,62.26,0.23,2.98,0.69,0.13,0.0,0.0,0.0,0.0,,0.56,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,per90,27.0,8.894044917076826,8.309922948479652,2.7250300347805023,10.32583157115106,15.205794222229812,349.0,142.0,77.486613,33.1338052,74.441933,79.8749,Centre-Back,28.0,1.9,Brazil,€75.00m,"Jun 30, 2029","Dec 19, 1997","Sep 1, 2020",,"[""CB""]"
