master_id,player_name,player_name_us,player_name_tm,player_id_tm,_name_norm,_team_norm,_league,_fuzzy_score_us,_fuzzy_score_tm,_matched_via_fuzzy
50c2639a16cb,Tom Edozie,Tom Edozie,,,tom edozie,wolverhampton,England Premier League,100.0,,True
b9359ec3e1f1,Lucas Paquetá,Lucas Paquetá,,,lucas paqueta,west ham united,England Premier League,100.0,,True
cd418b0110a3,Đorđe Petrović,Djordje Petrovic,,,ore petrovic,bournemouth,England Premier League,90.0,,True
ddfea0c5661c,Emmanuel Agbadou,Emmanuel Agbadou,,,emmanuel agbadou,wolverhampton,England Premier League,100.0,,True
f9b6f0dc3927,Savinho,,Savinho,743591.0,savinho,manchester city,England Premier League,,100.0,True
3eff83f198c3,Yehor Yarmoliuk,Yehor Yarmolyuk,,,yehor yarmoliuk,brentford,England Premier League,93.3,,True
c064795750cf,Oleksandr Zinchenko,Oleksandr Zinchenko,,,oleksandr zinchenko,nottingham forest,England Premier League,,,
eff5aeb0e40b,Andy Robertson,Andrew Robertson,,,andy robertson,liverpool fc,England Premier League,90.0,,True
ac09a2ca1919,Jun'ai Byfield,Jun'ai Byfield,,,jun ai byfield,tottenham hotspur,England Premier League,100.0,,True
7c887d1d0c32,Jesse Derry,Jesse Derry,,,jesse derry,chelsea,England Premier League,,,
67179d8ca364,Oliver Sonne,Oliver Sonne,,,oliver sonne,burnley,England Premier League,,,
ce8ef7a9e60a,Valentín Castellanos,Valentín Castellanos,,,valentin castellanos,west ham united,England Premier League,100.0,,True
b886ecc9ba2e,Frank Onyeka,Frank Onyeka,,,frank onyeka,brentford,England Premier League,,,
4485b14fc173,Ki-Jana Hoever,Ki-Jana Hoever,,,ki jana hoever,wolverhampton,England Premier League,100.0,,True
2b2894126d0e,Jhon Arias,Jhon Arias,,,jhon arias,wolverhampton,England Premier League,100.0,,True
2adacc2d73b2,Tyler Fredricson,Tyler Fredricson,,,tyler fredricson,manchester united,England Premier League,,,
53e950b569e7,Jota Silva,Jota Silva,,,jota silva,nottingham forest,England Premier League,,,
6c18f49305e4,Jamaldeen Jimoh,Jamaldeen Jimoh,,,jamaldeen jimoh,aston villa,England Premier League,,,
0448082e9099,Callum Olusesi,Callum Olusesi,,,callum olusesi,tottenham hotspur,England Premier League,100.0,,True
f19fa6df9732,Tawanda Chirewa,Tawanda Chirewa,,,tawanda chirewa,wolverhampton,England Premier League,100.0,,True
9afc17dcf204,Dan Neil,Dan Neil,,,dan neil,sunderland,England Premier League,,,
66ea9fcae4c4,Andy Irving,Andy Irving,,,andy irving,west ham united,England Premier League,100.0,,True
ed45411e6e7a,Shea Lacey,Shea Lacey,,,shea lacey,manchester united,England Premier League,,,
8cb1b79b63e5,George Hemmings,George Hemmings,,,george hemmings,aston villa,England Premier League,,,
bd2d4f441494,Romain Esse,Romain Esse,,,romain esse,crystal palace,England Premier League,,,
f8471b40ba30,Jack Fletcher,Jack Fletcher,,,jack fletcher,manchester united,England Premier League,,,
1dbd27ea7f6f,Max Kilman,Max Kilman,,,max kilman,west ham united,England Premier League,100.0,,True
99c151a9f749,Bendito Mantato,Bendito Mantato,,,bendito mantato,manchester united,England Premier League,,,
de393a5a7eb4,Divine Mukasa,Divine Mukasa,,,divine mukasa,manchester city,England Premier League,,,
fc9449d39024,Tom Watson,Tom Watson,,,tom watson,brighton hove albion,England Premier League,100.0,,True
e7ce2c670716,Luís Guilherme,Luis Guilherme,,,luis guilherme,west ham united,England Premier League,100.0,,True
f8c38c66dec3,Dane Scarlett,Dane Scarlett,,,dane scarlett,tottenham hotspur,England Premier League,100.0,,True
dcd35922371e,Joel Drakes-Thomas,Joél Drakes-Thomas,,,joel drakes thomas,crystal palace,England Premier League,,,
98652926d5f5,Harry Howell,Harry Howell,,,harry howell,brighton hove albion,England Premier League,100.0,,True
3cd79348104f,Shumaira Mheuka,Shumaira Mheuka,,,shumaira mheuka,chelsea,England Premier League,,,
172be1f6dc69,Jaydon Banel,Jaydon Banel,,,jaydon banel,burnley,England Premier League,,,
89228e99665f,George Earthy,George Earthy,,,george earthy,west ham united,England Premier League,100.0,,True
d2c83335a3f4,Bradley Burrowes,Bradley Burrowes,,,bradley burrowes,aston villa,England Premier League,,,
fbc79ec74872,Jamaal Lascelles,Jamaal Lascelles,,,jamaal lascelles,newcastle united,England Premier League,,,
079a5b25d032,Callum Marshall,Callum Marshall,,,callum marshall,west ham united,England Premier League,100.0,,True
5a1c083507ae,Saša Kalajdžić,Sasa Kalajdzic,,,sasa kalajdzic,wolverhampton,England Premier League,100.0,,True
50ff02292805,Ben Winterburn,Ben Winterburn,,,ben winterburn,bournemouth,England Premier League,,,
21fc867d8ca7,Tyler Fletcher,Tyler Fletcher,,,tyler fletcher,manchester united,England Premier League,,,
1360550813f6,James Rowswell,James Rowswell,,,james rowswell,tottenham hotspur,England Premier League,100.0,,True
42db146608ed,Myles Peart-Harris,Myles Peart-Harris,,,myles peart harris,brentford,England Premier League,,,
47b284a7a0e4,Nehemiah Oriola,Nehemiah Oriola,,,nehemiah oriola,brighton hove albion,England Premier League,100.0,,True
8e5b436c7be1,Joe Knight,Joe Knight,,,joe knight,brighton hove albion,England Premier League,100.0,,True
55deed5e6619,Mezian Mesloub,,,,mezian mesloub,lens,France Ligue 1,,,
d92bbd0a2b10,Brad-Hamilton Mantsounga,Brad-Hamilton Mantsounga,,,brad hamilton mantsounga,nice,France Ligue 1,,,
1a4d7717f5a6,Julien Le Cardinal,Julien Le Cardinal,,,julien le cardinal,saint tienne,France Ligue 1,100.0,,True
002fbd903da7,Michel Diaz,Michel Diaz,,,michel diaz,stade brestois,France Ligue 1,100.0,,True
44db47932957,Hilan Hamzaoui Slimani,Hilan Slimani,,,hilan hamzaoui slimani,olympique de marseille,France Ligue 1,100.0,,True
099f7f4f3c2b,Formose Mendy,Formose Mendy,,,formose mendy,lorient,France Ligue 1,,,
100b51edf569,Ange Lago,Ange Lago,,,ange lago,olympique de marseille,France Ligue 1,100.0,,True
4452784b6e70,Seko Fofana,Seko Fofana,,,seko fofana,stade rennais,France Ligue 1,100.0,,True
d79601c3da02,Derek Cornelius,Derek Cornelius,,,derek cornelius,olympique de marseille,France Ligue 1,100.0,,True
7b097a455eb2,Hyeok-kyu Kwon,Kwon Hyeok-Kyu,,,hyeok kyu kwon,nantes,France Ligue 1,100.0,,True
5c645ed45ded,Morgan Guilavogui,Morgan Guilavogui,,,morgan guilavogui,lens,France Ligue 1,,,
1c2ca96fcdbc,Jim Allevinah,Jim Allevinah,,,jim allevinah,angers,France Ligue 1,,,
2cc942c6a483,Dimitri Lucea,Dimitri Lucea,,,dimitri lucea,paris saint germain,France Ligue 1,,,
9f9daa617948,Tim Weah,Timothy Weah,,,tim weah,olympique de marseille,France Ligue 1,90.0,,True
2798cb0ee113,Mohamed Kader Meite,Mohamed Meïté,,,mohamed kader meite,stade rennais,France Ligue 1,100.0,,True
ac5fdf720e0f,Thomas Delaine,Thomas Delaine,,,thomas delaine,le havre,France Ligue 1,,,
f812a356db6d,Billal Brahimi,Billal Brahimi,,,billal brahimi,nice,France Ligue 1,,,
33de39e27490,Maxima Goffi,Maxima Goffi,,,maxima goffi,lille,France Ligue 1,,,
4870b637d8ef,Bané Diatta,Bané Diatta,,,bane diatta,angers,France Ligue 1,,,
73b3a3cf2d83,Jahyann Pandore,Jahyann Pandore,,,jahyann pandore,metz,France Ligue 1,,,
e9816936cdc8,Nouha Dicko,Nouha Dicko,,,nouha dicko,paris fc,France Ligue 1,,,
9cec29459ff2,Conrad Jaden Egan-Riley,,,,conrad jaden egan riley,olympique de marseille,France Ligue 1,,,
d9e3671675e6,Tyrese Noubissie,Tyrese Noubissie,,,tyrese noubissie,strasbourg,France Ligue 1,,,
aa12ca04d6fa,Morgan Bokele Mputu,Morgan Bokele,,,morgan bokele mputu,metz,France Ligue 1,100.0,,True
ce3d1b78e2c3,Yassine Benhattab,Yassine Benhattab,,,yassine benhattab,nantes,France Ligue 1,,,
7de8fd7013ba,Dehmaine Tabibou,,Dehmaine Tabibou,1004619.0,dehmaine tabibou,nantes,France Ligue 1,,,
ecb319e4f4e0,Kelvin Amian,,Kelvin Amian,344072.0,kelvin amian,nantes,France Ligue 1,,,
590b9cab99df,Pape Cabral,Pape Cabral,,,pape cabral,monaco,France Ligue 1,,,
0fd5540dffca,Hong Hyun-seok,Hong Hyun-Seok,,,hong hyun seok,nantes,France Ligue 1,,,
e56b34afe02a,Malick Mbaye,Malick Mbaye,,,malick mbaye,metz,France Ligue 1,,,
4c0ae40b2087,Ilyas Azizi,Ilyas Azizi,,,ilyas azizi,toulouse,France Ligue 1,,,
463a8afac993,Ibrahim Salah,Ibrahim Salah,,,ibrahim salah,stade rennais,France Ligue 1,100.0,,True
1290b33c7481,Sidiki Cherif,Sidiki Chérif,,,sidiki cherif,angers,France Ligue 1,,,
efd4bd9513c7,Younes Namli,Younes Namli,,,younes namli,le havre,France Ligue 1,,,
1a3f3223aa97,Félix Lemaréchal,Felix Lemarechal,,,felix lemarechal,strasbourg,France Ligue 1,,,
ac87ec2f1fdf,Eric Ebimbe,Eric Junior Dina Ebimbe,,,eric ebimbe,stade brestois,France Ligue 1,100.0,,True
62be0a7591d2,Mayckel Lahdo,Mayckel Lahdo,,,mayckel lahdo,nantes,France Ligue 1,,,
b2ce288df6e1,Lohann Doucet,Lohann Doucet,,,lohann doucet,paris fc,France Ligue 1,,,
9c0315841ff3,Brian Madjo,Brian Madjo,,,brian madjo,metz,France Ligue 1,,,
79d695656ae9,Cheick Tidiane Sabaly,Cheick Tidiane Sabaly,,,cheick tidiane sabaly,metz,France Ligue 1,,,
5b96e68bcd2a,Ibrahim Osman,Ibrahim Osman,,,ibrahim osman,auxerre,France Ligue 1,,,
db930e7d5026,Joel Mugisha Mvuka,Joel Mvuka,,,joel mugisha mvuka,lorient,France Ligue 1,100.0,,True
97babd0320b1,Nouhoum Kamissoko,Nouhoum Kamissoko,,,nouhoum kamissoko,olympique de marseille,France Ligue 1,100.0,,True
d959816adfa6,Theo Bair,Theo Bair,,,theo bair,auxerre,France Ligue 1,,,
c26b3e34f154,Serigne Diop,Serigne Diop,,,serigne diop,stade brestois,France Ligue 1,100.0,,True
647dc0d2f95a,George Ilenikhena,George Ilenikhena,,,george ilenikhena,monaco,France Ligue 1,,,
736e8c76ac92,Adil Hamdani,Adil Hamdani,,,adil hamdani,olympique lyonnais,France Ligue 1,100.0,,True
05535e8048bd,Terem Moffi,Terem Igobor Moffi,,,terem moffi,nice,France Ligue 1,100.0,,True
a2387ea0f057,Kendry Páez,Kendry Páez,,,kendry paez,strasbourg,France Ligue 1,,,
c708e457deae,Noah Nsoki,Noah Nsoki,,,noah nsoki,paris saint germain,France Ligue 1,,,
34bba8c98fff,Mathis Jangeal,Mathis Jangeal,,,mathis jangeal,paris saint germain,France Ligue 1,,,
9f62582c1d31,Amadou Cissé,Amadou Cissé,,,amadou cisse,strasbourg,France Ligue 1,,,
8e22eb5143de,Mathis Saka,Mathis Saka,,,mathis saka,rodez af,France Ligue 1,100.0,,True
ec8bf7e7029b,Jean-Baptiste Bosey,Jean-Baptiste Bosey,,,jean baptiste bosey,strasbourg,France Ligue 1,,,
a23c2c8b0b7e,Ibrahim Yayiya Kante,Ibrahim Kanté,,,ibrahim yayiya kante,stade brestois,France Ligue 1,100.0,,True
6ed0198662d4,Zoumana Diallo,Zoumana Diallo,,,zoumana diallo,nice,France Ligue 1,,,
c15838a00cc3,Mohamed Benoit-Dao,Mohamed Benoit-Dao,,,mohamed benoit dao,paris fc,France Ligue 1,,,
270ef7e9be88,Damián Pizarro,Damián Pizarro,,,damian pizarro,le havre,France Ligue 1,,,
15a9c11a6596,Joseph N'Duquidi,Joseph N'Duquidi,,,joseph n duquidi,metz,France Ligue 1,,,
0976f4570bd3,Axel Camblan,Axel Camblan,,,axel camblan,stade brestois,France Ligue 1,100.0,,True
10842776a89b,Daniel Semedo,Daniel Semedo,,,daniel semedo,lorient,France Ligue 1,,,
22fe33588321,Ugo Lamare El Kadmiri,Ugo El Kadmiri,,,ugo lamare el kadmiri,olympique de marseille,France Ligue 1,100.0,,True
41104b3130ce,Joel Asoro,Joel Asoro,,,joel asoro,metz,France Ligue 1,,,
a3fa8d522d72,Enzo Molebe,Enzo Molébé,,,enzo molebe,olympique lyonnais,France Ligue 1,100.0,,True
deb85bd09a2d,Tadjidine Mmadi,Tadjidine Mmadi,,,tadjidine mmadi,olympique de marseille,France Ligue 1,100.0,,True
9c59ed929b49,Rabby Nzingoula,Rabby Nzingoula,,,rabby nzingoula,strasbourg,France Ligue 1,,,
46670cdb0ff6,Ilane Touré,Ilane Touré,,,ilane toure,monaco,France Ligue 1,,,
ea95418feadc,Vincent Burlet,Vincent Burlet,,,vincent burlet,lille,France Ligue 1,,,
8aaa37decadf,Justin Bourgault,Justin Bourgault,,,justin bourgault,stade brestois,France Ligue 1,100.0,,True
27ff1ff1f1b1,Idrissa Sabaly,Idrissa Sabaly,,,idrissa sabaly,strasbourg,France Ligue 1,,,
65fd710d8f67,Pierre Mounguengue,Pierre Mounguengue,,,pierre mounguengue,paris saint germain,France Ligue 1,,,
5f17456458cf,Christopher Wooh,Christopher Wooh,,,christopher wooh,stade rennais,France Ligue 1,100.0,,True
9f548d715ec1,Bertuğ Yıldırım,Bertug Yildirim,,,bertug yldrm,stade rennais,France Ligue 1,88.9,,True
46be1d8c7931,Hamza Koutoune,Hamza Koutoune,,,hamza koutoune,nice,France Ligue 1,,,
5acf6e9bc3d9,Samuel Nibombe,Samuel Nibombé,,,samuel nibombe,monaco,France Ligue 1,,,
56e87b35363a,Martin Bley,Martin Bley,,,martin bley,lorient,France Ligue 1,,,
c84a896be907,Henrick Do Marcolino,Henrick Do Marcolino,,,henrick do marcolino,stade rennais,France Ligue 1,100.0,,True
ff2efc5b4526,Georges Gomis,Georges Gomis,,,georges gomis,le havre,France Ligue 1,,,
907c430596a3,Yvan Zaddy,Yvan Zaddy,,,yvan zaddy,auxerre,France Ligue 1,,,
3dd42bd1472c,Lucas Rosier,Lucas Rosier,,,lucas rosier,stade rennais,France Ligue 1,100.0,,True
4e7d3028d245,Mamoudou Cissokho,Mamoudou Cissokho,,,mamoudou cissokho,auxerre,France Ligue 1,,,
682dc8a54a11,Leo Scienza,Léo Scienza,,,leo scienza,1 heidenheim,Germany Bundesliga,100.0,,True
da5e5b62d8b8,Jean-Mattéo Bahoya,,Jean-Mattéo Bahoya,939964.0,jean matteo bahoya,eintracht frankfurt,Germany Bundesliga,,100.0,True
ae96927ed048,Marin Ljubičić,Marin Ljubicic,,,marin ljubicic,1 union berlin,Germany Bundesliga,100.0,,True
982a832680d9,Charles Herrmann,Charles Herrmann,,,charles herrmann,borussia m gladbach,Germany Bundesliga,,,
74969ffe9c9c,Ezequiel Fernández,Ezequiél Fernández,,,ezequiel fernandez,bayer 04 leverkusen,Germany Bundesliga,100.0,,True
8034c9405c97,Skelly Alvero,Skelly Alvero,,,skelly alvero,sv werder bremen,Germany Bundesliga,100.0,,True
4c3b8acdbee6,Oscar Fraulo,Oscar Fraulo,,,oscar fraulo,borussia m gladbach,Germany Bundesliga,,,
87545fea09ca,Arne Maier,Arne Maier,,,arne maier,augsburg,Germany Bundesliga,,,
6d2778d15a21,Ben Bobzien,Ben Bobzien,,,ben bobzien,1 fsv mainz 05,Germany Bundesliga,100.0,,True
5c46f95ffcd3,Václav Černý,Václav Cerny,,,vaclav cerny,vfl wolfsburg,Germany Bundesliga,100.0,,True
b7f067c55f92,Jonas Meffert,Jonas Meffert,,,jonas meffert,hamburger sv,Germany Bundesliga,,,
27b3c6b73085,Elias Saad,Elias Saad,,,elias saad,augsburg,Germany Bundesliga,,,
667a07bda8d6,Junior Adamu,Junior Adamu,,,junior adamu,freiburg,Germany Bundesliga,,,
466af81f47fc,David Daiber,,David Santos Daiber,1118495.0,david daiber,bayern m nchen,Germany Bundesliga,,100.0,True
fea021390339,Thomas Keller,Thomas Keller,,,thomas keller,1 heidenheim,Germany Bundesliga,100.0,,True
2fae31b8a609,Grant-Leon Ranos,Grant-Leon Ranos,,,grant leon ranos,borussia m gladbach,Germany Bundesliga,,,
1be90c037505,Umut Tohumcu,Umut Tohumcu,,,umut tohumcu,tsg hoffenheim,Germany Bundesliga,100.0,,True
980badce9bc1,Maximilian Rosenfelder,Max Rosenfelder,,,maximilian rosenfelder,freiburg,Germany Bundesliga,90.0,,True
b342ecbfcdd8,Guilherme Ramos,Guilherme Ramos,,,guilherme ramos,hamburger sv,Germany Bundesliga,,,
7088d668f1cb,Rouven Tarnutzer,Rouven Tarnutzer,,,rouven tarnutzer,freiburg,Germany Bundesliga,,,
c195e5544760,Tim Schnitzer,Tim Schnitzer,,,tim schnitzer,augsburg,Germany Bundesliga,,,
196deea14d1a,Maycon Cardozo,Maycon Douglas Cardozo,,,maycon cardozo,bayern m nchen,Germany Bundesliga,100.0,,True
e782892db998,Timo Werner,Timo Werner,,,timo werner,leipzig,Germany Bundesliga,100.0,,True
b28c058d0d1d,Jan Urbich,Jan Urbich,,,jan urbich,borussia m gladbach,Germany Bundesliga,,,
bd422ce0a128,Oladapo Afolayan,Oladapo Afolayan,,,oladapo afolayan,st pauli,Germany Bundesliga,,,
ca0ac368a758,Sacha Boey,Sacha Boey,,,sacha boey,bayern m nchen,Germany Bundesliga,100.0,,True
278738182535,Samuel Essende,Samuel Essende,,,samuel essende,augsburg,Germany Bundesliga,,,
a090b389726f,Emir Sahiti,Emir Sahiti,,,emir sahiti,hamburger sv,Germany Bundesliga,,,
b9b0103700c0,Jessic Ngankam,Jessic Ngankam,,,jessic ngankam,eintracht frankfurt,Germany Bundesliga,,,
de9e6ae55719,Wisdom Mike,Wisdom Mike,,,wisdom mike,bayern m nchen,Germany Bundesliga,100.0,,True
fc4f969b587d,Jusuf Gazibegović,Jusuf Gazibegovic,,,jusuf gazibegovic,1 k ln,Germany Bundesliga,100.0,,True
e2ab1e26f894,Aiman Dardari,Aiman Dardari,,,aiman dardari,augsburg,Germany Bundesliga,,,
b820f59e8caa,Deniz Ofli,Deniz Ofli,,,deniz ofli,bayern m nchen,Germany Bundesliga,100.0,,True
932ca5c3bc70,Linus Guther,Linus Güther,,,linus guther,1 union berlin,Germany Bundesliga,100.0,,True
4d4516061683,Cenny Neumann,Cenny Neumann,,,cenny neumann,1 k ln,Germany Bundesliga,100.0,,True
66392c8040d2,Aboubaka Soumahoro,Aboubaka Soumahoro,,,aboubaka soumahoro,hamburger sv,Germany Bundesliga,,,
b7a0e466a720,Fabio Moreno Fell,Fabio Moreno Fell,,,fabio moreno fell,1 fsv mainz 05,Germany Bundesliga,100.0,,True
90a2efb3f998,Aurélio Buta,Aurélio Buta,,,aurelio buta,eintracht frankfurt,Germany Bundesliga,,,
20e3ec5088df,Immanuel Pherai,Immanuel Pherai,,,immanuel pherai,hamburger sv,Germany Bundesliga,,,
19a0042658de,Cassiano Kiala,Cassiano Kiala,,,cassiano kiala,bayern m nchen,Germany Bundesliga,100.0,,True
16302da356c7,Mathis Albert,Mathis Albert,,,mathis albert,borussia dortmund,Germany Bundesliga,,,
2c44139b2ab9,Isak Hansen Aarøen,Isak Hansen-Aaröen,,,isak hansen aaren,sv werder bremen,Germany Bundesliga,97.1,,True
