player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Mathieu Gorgelin,RC Lens,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,70.59,6.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.63,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,8.3,France Ligue 1,per90,25/26
Lionel Mpasi Nzau,Le Havre,1.14,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.57,29.43,69.13,8.86,40.26,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,55.71,0.0,13.14,0.0,0.29,10.57,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.57,100.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,4.29,0.67,0.29,0.57,0.0,0.0,0.86,0.57,0.57,0.86,2.29,2.0,0.0,0.0,0.0,7.83,France Ligue 1,per90,25/26
Mezian Mesloub,RC Lens,8.18,90,8.18,1.31,8.18,8.18,0.0,8.18,100.0,0.0,8.18,0.0,0.0,8.18,32.73,24.55,75.0,8.18,100.0,0.0,0.0,0.0,8.18,0.0,0.0,0.0,0.0,57.27,0.0,24.55,0.0,0.0,8.18,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,France Ligue 1,per90,25/26
Rémy Descamps,Olympique Lyonnais,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0,74.07,3.2,34.04,0.0,0.0,0.0,0.2,0.0,0.2,100.0,0.2,35.6,0.0,7.4,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.8,0.56,0.8,0.6,0.0,0.0,0.6,0.4,0.2,0.4,2.0,0.8,0.0,0.0,0.0,7.66,France Ligue 1,per90,25/26
Vitinha,Paris Saint-Germain,1.23,90,0.04,0.04,0.42,1.44,0.0,0.34,2.94,0.0,0.08,0.3,0.16,1.44,116.39,109.14,93.77,7.38,75.32,0.3,31.82,0.93,26.69,0.0,0.55,72.22,0.76,127.17,0.42,9.63,0.72,0.89,5.81,0.0,1.02,0.76,1.15,0.42,0.93,0.21,0.0,0.08,2.46,59.18,0.17,57.14,0.59,1.82,0.59,0.08,0.0,0.0,0.0,0.0,,0.42,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58,France Ligue 1,per90,25/26
Dilane Bakwa,RC Strasbourg,2.57,90,0.86,0.13,0.86,1.71,0.0,1.71,50.0,0.0,1.71,1.71,0.69,2.57,36.0,31.71,88.1,1.71,66.67,1.71,28.57,6.0,13.71,0.0,4.29,55.56,7.71,66.0,0.86,16.29,0.86,3.43,5.14,0.0,0.86,0.86,0.86,0.86,0.86,0.0,0.0,0.0,8.57,62.5,0.0,0.0,0.86,5.14,0.0,0.0,0.0,0.0,0.86,0.0,,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53,France Ligue 1,per90,25/26
Ousmane Dembélé,Paris Saint-Germain,1.86,90,0.85,0.56,1.53,3.81,0.34,0.76,22.22,0.08,2.63,0.59,0.38,3.47,63.14,52.46,83.09,2.54,78.95,1.02,24.49,4.15,28.14,0.0,2.03,61.54,3.31,79.66,1.02,17.37,0.85,0.34,2.12,0.68,0.51,0.25,0.0,0.59,0.25,0.0,0.0,0.08,2.88,50.75,0.17,33.33,0.25,3.14,0.25,0.0,0.0,0.0,0.0,0.0,,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.17,7.42,France Ligue 1,per90,25/26
Ilan Kebbal,Paris FC,1.17,90,0.36,0.26,0.81,2.02,0.16,0.28,18.0,0.0,1.21,0.16,0.24,2.46,57.74,49.7,86.08,3.19,72.48,0.85,19.09,4.44,16.51,0.04,1.29,45.07,2.87,78.65,1.86,17.24,0.97,2.46,5.33,0.12,1.29,0.69,0.32,0.36,0.28,0.0,0.0,0.0,5.01,51.24,0.08,12.5,0.77,5.33,0.61,0.28,0.0,0.0,0.04,0.0,,0.08,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,7.39,France Ligue 1,per90,25/26
Mason Greenwood,Olympique de Marseille,1.17,90,0.58,0.52,1.75,4.19,0.15,0.47,13.91,0.0,2.33,0.26,0.21,2.22,45.6,37.25,81.69,2.81,65.25,1.02,25.45,4.01,16.04,0.07,1.97,51.43,3.83,65.69,0.98,16.95,0.55,1.24,2.99,0.04,0.55,0.51,0.15,1.06,0.11,0.04,0.0,0.0,3.75,46.82,0.07,22.22,0.66,4.52,0.8,0.15,0.0,0.0,0.04,0.0,,0.11,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.22,7.37,France Ligue 1,per90,25/26
Patrik Carlgren,Nantes,1.44,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,13.4,45.9,4.79,23.26,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,45.48,0.0,15.8,0.0,0.48,12.45,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.48,100.0,0.48,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.09,0.48,0.96,0.0,0.0,1.44,1.44,1.44,1.91,4.31,0.96,0.0,0.0,0.0,7.37,France Ligue 1,per90,25/26
Hervé Koffi,Angers,1.02,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.91,20.27,70.14,4.81,36.88,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,41.43,0.0,8.97,0.0,0.37,10.42,0.0,0.07,0.07,0.0,0.0,0.91,0.0,0.03,0.1,0.41,92.31,0.24,87.5,0.0,0.07,0.03,0.03,0.0,0.03,0.0,4.16,0.4,0.34,1.22,0.07,0.2,1.32,0.44,0.41,0.3,2.61,1.52,0.0,0.0,0.0,7.35,France Ligue 1,per90,25/26
Allan Saint-Maximin,RC Lens,2.23,90,0.67,0.35,0.67,4.69,0.22,0.45,14.29,0.0,2.01,0.67,0.41,4.02,37.3,32.38,86.83,2.23,76.92,1.56,30.43,5.14,18.98,0.0,3.13,53.85,5.81,65.43,3.57,18.31,1.56,1.56,4.69,0.22,0.67,0.0,0.22,2.23,0.0,0.0,0.0,0.0,5.36,43.64,0.45,40.0,0.0,7.59,0.67,0.0,0.0,0.0,0.0,0.0,,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,France Ligue 1,per90,25/26
Karl-Johan Johnsson,RC Strasbourg,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,25.0,78.13,4.0,36.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.28,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,7.3,France Ligue 1,per90,25/26
Marquinhos,Paris Saint-Germain,1.2,90,0.0,0.01,0.0,0.26,0.0,0.0,0.0,0.0,0.26,0.0,0.04,0.17,80.48,76.53,95.1,4.98,69.88,0.0,0.0,0.17,12.78,0.0,0.17,100.0,0.17,89.4,0.17,4.55,0.0,0.17,3.69,0.0,1.29,1.03,0.69,0.17,3.0,0.34,0.0,0.09,1.63,65.52,1.89,55.0,0.09,2.4,0.69,0.0,0.0,0.09,0.0,0.0,,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,France Ligue 1,per90,25/26
Lucas Beraldo,Paris Saint-Germain,1.15,90,0.11,0.1,0.23,0.8,0.0,0.17,14.29,0.11,0.46,0.06,0.07,0.8,81.97,76.64,93.5,2.58,59.21,0.0,0.0,0.11,11.46,0.0,0.0,0.0,0.17,94.07,0.29,6.65,0.11,0.4,4.82,0.0,1.78,1.03,1.2,0.17,3.73,0.46,0.0,0.06,2.18,52.78,2.01,53.03,0.69,3.73,0.86,0.11,0.0,0.0,0.0,0.0,,0.46,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,France Ligue 1,per90,25/26
Aïssa Mandi,Lille,1.07,90,0.04,0.04,0.15,0.52,0.0,0.04,7.14,0.04,0.44,0.0,0.05,0.37,70.3,64.61,91.9,5.36,66.51,0.04,11.11,0.33,8.57,0.0,0.15,66.67,0.22,82.2,0.11,6.95,0.11,0.63,4.73,0.04,1.22,0.81,1.63,0.18,3.92,0.55,0.0,0.07,1.96,63.1,1.59,72.88,0.37,1.74,0.63,0.3,0.0,0.0,0.0,0.0,,0.37,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,France Ligue 1,per90,25/26
