player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Mathieu Gorgelin,RC Lens,1,90,0,,0,0,0,0,0.0,0,0,0,0.0,0,34,24,70.59,6,37.5,0,0.0,0,0,0,0,0.0,0,51,0,10,0,0,15,0,0,0,0,0,4,0.0,0,0,0,0.0,2,100.0,0,0,0,0,0,0,0,4,0.63,1,0,0,0,2,2,2,2,3,1,0,0,0,8.3,France Ligue 1,perMatch,25/26
Lionel Mpasi Nzau,Le Havre,4,315,0,,0,0,0,0,0.0,0,0,0,0.0,0,149,103,69.13,31,40.26,0,0.0,0,4,0,0,0.0,0,195,0,46,0,1,37,0,0,0,0,0,5,0.0,0,0,0,0.0,2,100.0,0,0,0,2,0,0,0,15,2.34,1,2,0,0,3,2,2,3,8,7,0,0,0,7.83,France Ligue 1,perMatch,25/26
Mezian Mesloub,RC Lens,1,11,1,0.16,1,1,0,1,100.0,0,1,0,0.0,1,4,3,75.0,1,100.0,0,0.0,0,1,0,0,0.0,0,7,0,3,0,0,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,France Ligue 1,perMatch,25/26
Rémy Descamps,Olympique Lyonnais,5,450,0,,0,0,0,0,0.0,0,0,0,0.0,0,135,100,74.07,16,34.04,0,0.0,0,1,0,1,100.0,1,178,0,37,0,0,35,0,0,0,0,0,3,0.0,0,0,1,50.0,0,0.0,1,1,0,0,0,0,0,14,2.79,4,3,0,0,3,2,1,2,10,4,0,0,0,7.66,France Ligue 1,perMatch,25/26
Vitinha,Paris Saint-Germain,29,2121,1,1.06,10,34,0,8,2.94,0,2,7,3.74,34,2743,2572,93.77,174,75.32,7,31.82,22,629,0,13,72.22,18,2997,10,227,17,21,137,0,24,18,27,10,22,5.0,0,2,58,59.18,4,57.14,14,43,14,2,0,0,0,0,,10,19,0,0,0,0,0,0,0,0,0,0,0,7.58,France Ligue 1,perMatch,25/26
Dilane Bakwa,RC Strasbourg,3,105,1,0.15,1,2,0,2,50.0,0,2,2,0.81,3,42,37,88.1,2,66.67,2,28.57,7,16,0,5,55.56,9,77,1,19,1,4,6,0,1,1,1,1,1,0.0,0,0,10,62.5,0,0.0,1,6,0,0,0,0,1,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,7.53,France Ligue 1,perMatch,25/26
Ousmane Dembélé,Paris Saint-Germain,22,1062,10,6.6,18,45,4,9,22.22,1,31,7,4.5,41,745,619,83.09,30,78.95,12,24.49,49,332,0,24,61.54,39,940,12,205,10,4,25,8,6,3,0,7,3,0.0,0,1,34,50.75,2,33.33,3,37,3,0,0,0,0,0,,0,8,0,0,0,0,0,0,0,0,0,3,2,7.42,France Ligue 1,perMatch,25/26
Ilan Kebbal,Paris FC,29,2229,9,6.55,20,50,4,7,18.0,0,30,4,6.02,61,1430,1231,86.08,79,72.48,21,19.09,110,409,1,32,45.07,71,1948,46,427,24,61,132,3,32,17,8,9,7,0.0,0,0,124,51.24,2,12.5,19,132,15,7,0,0,1,0,,2,38,0,0,0,0,0,0,0,0,0,4,3,7.39,France Ligue 1,perMatch,25/26
Mason Greenwood,Olympique de Marseille,32,2469,16,14.39,48,115,4,13,13.91,0,64,7,5.81,61,1251,1022,81.69,77,65.25,28,25.45,110,440,2,54,51.43,105,1802,27,465,15,34,82,1,15,14,4,29,3,1.0,0,0,103,46.82,2,22.22,18,124,22,4,0,0,1,0,,3,36,0,0,0,0,0,0,0,0,0,8,6,7.37,France Ligue 1,perMatch,25/26
Patrik Carlgren,Nantes,3,188,0,,0,0,0,0,0.0,0,0,0,0.0,0,61,28,45.9,10,23.26,0,0.0,0,3,0,0,0.0,0,95,0,33,0,1,26,0,0,0,0,0,6,0.0,0,0,1,100.0,1,100.0,0,0,0,0,0,0,0,11,0.18,1,2,0,0,3,3,3,4,9,2,0,0,0,7.37,France Ligue 1,perMatch,25/26
Hervé Koffi,Angers,30,2659,0,,0,0,0,0,0.0,0,0,0,0.02,0,854,599,70.14,142,36.88,0,0.0,0,12,0,0,0.0,0,1224,0,265,0,11,308,0,2,2,0,0,27,0.0,1,3,12,92.31,7,87.5,0,2,1,1,0,1,0,123,11.92,10,36,2,6,39,13,12,9,77,45,0,0,0,7.35,France Ligue 1,perMatch,25/26
Allan Saint-Maximin,RC Lens,10,403,3,1.57,3,21,1,2,14.29,0,9,3,1.84,18,167,145,86.83,10,76.92,7,30.43,23,85,0,14,53.85,26,293,16,82,7,7,21,1,3,0,1,10,0,0.0,0,0,24,43.64,2,40.0,0,34,3,0,0,0,0,0,,0,6,0,0,0,0,0,0,0,0,0,0,0,7.3,France Ligue 1,perMatch,25/26
Karl-Johan Johnsson,RC Strasbourg,1,90,0,,0,0,0,0,0.0,0,0,0,0.0,0,32,25,78.13,4,36.36,0,0.0,0,1,0,0,0.0,0,40,0,7,0,0,9,0,0,0,0,0,3,0.0,0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,2,0.28,1,0,0,0,1,1,1,1,2,0,0,0,0,7.3,France Ligue 1,perMatch,25/26
Marquinhos,Paris Saint-Germain,14,1049,0,0.14,0,3,0,0,0.0,0,3,0,0.45,2,938,892,95.1,58,69.88,0,0.0,2,149,0,2,100.0,2,1042,2,53,0,2,43,0,15,12,8,2,35,4.0,0,1,19,65.52,22,55.0,1,28,8,0,0,1,0,0,,6,6,0,0,0,0,0,0,0,0,0,0,0,7.27,France Ligue 1,perMatch,25/26
Lucas Beraldo,Paris Saint-Germain,20,1570,2,1.66,4,14,0,3,14.29,2,8,1,1.2,14,1430,1337,93.5,45,59.21,0,0.0,2,200,0,0,0.0,3,1641,5,116,2,7,84,0,31,18,21,3,65,8.0,0,1,38,52.78,35,53.03,12,65,15,2,0,0,0,0,,8,15,0,0,0,0,0,0,0,0,0,0,0,7.25,France Ligue 1,perMatch,25/26
Aïssa Mandi,Lille,29,2435,1,1.19,4,14,0,1,7.14,1,12,0,1.25,10,1902,1748,91.9,145,66.51,1,11.11,9,232,0,4,66.67,6,2224,3,188,3,17,128,1,33,22,44,5,106,15.0,0,2,53,63.1,43,72.88,10,47,17,8,0,0,0,0,,10,28,0,0,0,0,0,0,0,0,0,0,0,7.24,France Ligue 1,perMatch,25/26
