player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Matheo Raab,1. FC Union Berlin,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,53.13,11.0,42.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,17.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.71,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,9.7,Germany Bundesliga,per90,25/26
Sander Tangvik,Hamburger SV,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,66.67,9.0,34.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,0.0,17.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.44,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,8.8,Germany Bundesliga,per90,25/26
Michael Olise,FC Bayern München,1.24,90,0.58,0.45,1.94,3.92,0.58,1.05,14.85,0.0,2.21,0.74,0.67,3.15,60.48,50.88,84.14,1.09,60.87,1.2,21.09,5.71,29.09,0.08,2.52,47.1,5.36,90.7,1.2,22.26,1.13,2.25,3.88,0.27,0.93,0.39,0.5,1.17,0.35,0.04,0.0,0.04,5.71,47.57,0.31,38.1,1.09,6.8,1.24,0.31,0.0,0.0,0.08,0.0,,0.31,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87,Germany Bundesliga,per90,25/26
Harry Kane,FC Bayern München,1.17,90,1.36,1.02,2.53,4.5,0.68,0.68,30.25,0.11,3.59,0.19,0.16,1.51,27.47,22.25,81.02,2.95,70.91,0.04,8.33,0.45,10.16,0.0,1.21,62.75,1.93,43.94,1.21,9.75,0.57,1.21,2.91,0.76,0.72,0.49,0.3,1.06,1.25,0.23,0.04,0.0,3.14,49.11,1.62,61.43,0.53,4.27,0.94,0.04,0.0,0.04,0.08,0.0,,0.15,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.38,7.84,Germany Bundesliga,per90,25/26
Frank Feller,1. FC Heidenheim,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67,27.67,71.55,10.33,49.21,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,51.33,0.0,11.67,0.0,0.67,9.67,0.0,0.33,0.33,0.0,0.0,1.33,0.0,0.0,0.0,1.0,60.0,0.33,100.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,5.0,0.24,0.0,1.67,0.0,0.0,0.0,1.0,1.0,0.33,3.33,1.67,0.0,0.0,0.0,7.77,Germany Bundesliga,per90,25/26
Yan Diomande,RB Leipzig,1.2,90,0.44,0.26,0.95,1.93,0.22,0.62,22.64,0.0,1.45,0.29,0.37,2.04,38.78,32.57,83.97,1.02,73.68,0.25,16.28,1.56,14.79,0.0,4.29,59.9,7.16,63.9,2.25,16.39,0.98,1.24,5.38,0.25,1.05,0.69,0.58,0.44,0.33,0.04,0.0,0.04,6.58,50.56,0.18,14.71,0.65,7.49,0.69,0.07,0.0,0.0,0.0,0.0,,0.11,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72,Germany Bundesliga,per90,25/26
Joshua Kimmich,FC Bayern München,1.14,90,0.08,0.1,0.39,1.11,0.04,0.63,7.14,0.0,0.47,0.32,0.4,2.29,104.61,96.63,92.38,6.32,71.11,1.11,23.33,4.74,28.7,0.08,0.43,61.11,0.71,121.22,0.55,13.97,0.32,0.83,4.62,0.0,1.26,0.99,0.99,0.24,0.71,0.24,0.0,0.16,2.53,55.65,0.28,36.84,0.91,2.49,0.32,0.16,0.0,0.04,0.0,0.0,,0.32,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71,Germany Bundesliga,per90,25/26
Nico Schlotterbeck,Borussia Dortmund,1.0,90,0.18,0.13,0.32,1.14,0.07,0.04,15.63,0.11,0.89,0.04,0.1,0.43,70.89,62.57,88.26,6.68,61.72,0.21,18.75,1.14,12.54,0.0,0.54,65.22,0.82,89.18,0.54,11.86,0.21,0.96,5.07,0.04,1.79,1.32,0.96,0.39,4.54,0.43,0.0,0.04,3.29,61.33,2.36,62.86,0.29,3.46,1.07,0.29,0.0,0.04,0.04,0.0,,0.39,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,Germany Bundesliga,per90,25/26
Sven Ulreich,FC Bayern München,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,18.0,47.37,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,20.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,7.6,Germany Bundesliga,per90,25/26
Karl Hein,SV Werder Bremen,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,41.5,75.45,9.0,40.91,0.0,0.0,0.0,0.5,0.0,0.5,100.0,0.5,70.0,0.0,13.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.36,0.5,2.0,0.0,0.5,0.5,1.5,1.5,1.0,3.5,2.0,0.0,0.0,0.0,7.6,Germany Bundesliga,per90,25/26
