player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Adrián,Real Betis,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,26.0,81.25,5.0,45.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,6.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.22,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,8.1,Spain La Liga,per90,25/26
Lamine Yamal,FC Barcelona,1.11,90,0.63,0.51,1.47,4.64,0.28,1.03,13.68,0.0,2.98,0.44,0.4,2.9,53.53,43.41,81.1,1.27,47.06,0.91,28.05,3.25,22.58,0.04,5.28,54.73,9.64,84.84,1.59,22.58,0.75,2.06,3.93,0.56,1.39,0.83,0.4,1.27,0.12,0.0,0.0,0.0,8.73,53.79,0.0,0.0,0.44,7.7,1.11,0.04,0.0,0.0,0.08,0.0,,0.24,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,7.93,Spain La Liga,per90,25/26
Angel Fortuno,Espanyol,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,91.3,8.0,80.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.26,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.9,Spain La Liga,per90,25/26
Pablo Cuñat,Levante UD,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,14.5,50.88,7.5,35.71,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,45.0,0.0,14.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,-0.13,0.0,2.5,0.0,0.0,1.0,0.0,0.0,2.5,3.0,2.0,0.0,0.0,0.0,7.75,Spain La Liga,per90,25/26
Dani Cárdenas,Rayo Vallecano,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.75,21.25,69.11,7.5,44.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.5,0.0,10.25,0.0,0.0,6.75,0.0,0.25,0.25,0.0,0.0,2.5,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.81,0.25,1.75,0.25,0.5,0.0,0.75,0.75,1.5,2.75,2.25,0.0,0.0,0.0,7.75,Spain La Liga,per90,25/26
Unai Marrero,Real Sociedad,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,21.0,55.26,11.0,39.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,0.0,17.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.76,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,7.7,Spain La Liga,per90,25/26
Álvaro Cortés,FC Barcelona,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,92.0,87.0,94.57,5.0,62.5,0.0,0.0,0.0,9.0,0.0,1.0,100.0,1.0,109.0,1.0,7.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,75.0,4.0,44.44,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,Spain La Liga,per90,25/26
Aitor Fernández,Osasuna,1.32,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,20.51,60.78,10.59,44.44,0.0,0.0,0.0,0.66,0.0,0.66,100.0,0.66,46.99,0.0,13.24,0.0,0.0,9.26,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.66,100.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.0,5.96,0.69,0.0,1.99,0.0,0.66,1.32,0.66,0.66,0.0,3.97,1.99,0.0,0.0,0.0,7.6,Spain La Liga,per90,25/26
Kylian Mbappé,Real Madrid,1.07,90,0.86,0.83,2.18,5.05,0.73,0.28,17.12,0.0,3.56,0.17,0.21,2.25,34.49,29.83,86.47,1.18,80.95,0.21,22.22,0.93,17.42,0.0,2.7,52.35,5.15,53.26,1.42,11.92,0.73,1.24,1.52,1.35,0.14,0.03,0.07,1.24,0.0,0.0,0.0,0.0,4.08,47.77,0.24,70.0,0.28,4.56,0.45,0.14,0.0,0.0,0.14,0.0,,0.28,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.28,7.56,Spain La Liga,per90,25/26
Pedri,FC Barcelona,1.24,90,0.09,0.07,0.43,0.9,0.17,0.34,9.52,0.0,0.43,0.38,0.23,2.73,87.78,80.39,91.58,4.02,68.61,0.21,38.46,0.56,28.36,0.04,1.62,67.86,2.39,105.21,1.24,11.4,0.77,1.84,6.96,0.04,2.14,1.24,1.03,0.21,0.98,0.09,0.0,0.04,5.6,59.82,0.43,83.33,1.37,3.84,0.38,0.0,0.04,0.0,0.0,0.0,,0.17,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,Spain La Liga,per90,25/26
