player,player_id,market_value,date_of_birth,age,height,nationality,position,team,signed_from,joined,contract_expires,league,season
Kaïl Boudache,1097113,€4.00m,"Jun 15, 2006",19,,France,Right Winger,Nice,,"Jan 1, 2026",-,FR1,25/26
Emmanuel Emegha,559328,€28.00m,"Feb 3, 2003",23,1.96,Netherlands,Centre-Forward,R. Strasbourg,,"Jul 22, 2023","Jun 30, 2028",FR1,25/26
Jonathan Fischer,542452,€3.00m,"Nov 9, 2001",24,1.98,Denmark,Goalkeeper,FC Metz,,"Jul 29, 2025","Jun 30, 2029",FR1,25/26
Ousmane Ba,666975,€100k,"Jun 6, 2002",23,1.87,Senegal,Goalkeeper,FC Metz,,"Sep 10, 2025","Jun 30, 2027",FR1,25/26
Samson Baidoo,655217,€25.00m,"Mar 31, 2004",22,1.9,Austria,Centre-Back,Lens,,"Jul 17, 2025","Jun 30, 2030",FR1,25/26
Charles Vanhoutte,569845,€7.00m,"Sep 16, 1998",27,1.82,Belgium,Defensive Midfield,Nice,,"Sep 1, 2025","Jun 30, 2029",FR1,25/26
Carlens Arcus,371686,€1.80m,"Jun 28, 1996",29,1.76,Haiti,Right-Back,Angers SCO,,"Jul 1, 2024","Jun 30, 2027",FR1,25/26
Matias Fernandez-Pardo,724129,€30.00m,"Feb 3, 2005",21,1.88,Belgium,Centre-Forward,Lille,,"Aug 30, 2024","Jun 30, 2029",FR1,25/26
Hicham Boudaoui,560593,€12.00m,"Sep 23, 1999",26,1.75,Algeria,Central Midfield,Nice,,"Sep 2, 2019","Jun 30, 2027",FR1,25/26
Hamidou Makalou,1200289,€1.00m,"Jul 15, 2006",19,1.64,Mali,Defensive Midfield,Stade Brestois,,"Mar 15, 2025","Jun 30, 2029",FR1,25/26
Bradley Locko,805908,€7.00m,"May 6, 2002",24,1.8,France,Left-Back,Stade Brestois,,"Jul 27, 2023","Jun 30, 2027",FR1,25/26
Martial Godo,992686,€18.00m,"Mar 14, 2003",23,1.77,Cote d'Ivoire,Left Winger,R. Strasbourg,,"Sep 1, 2025","Jun 30, 2030",FR1,25/26
Olivier Giroud,82442,€1.00m,"Sep 30, 1986",39,1.92,France,Centre-Forward,Lille,,"Jul 1, 2025","Jun 30, 2026",FR1,25/26
Ethan Nwaneri,890719,€40.00m,"Mar 21, 2007",19,1.76,England,Attacking Midfield,Marseille,,"Jan 23, 2026","Jun 30, 2026",FR1,25/26
Steeve Kango,1119391,€800k,"Dec 9, 2006",19,,France,Right-Back,Olymp. Lyon B,,"Jan 1, 2025",-,FR1,25/26
Jérémy Jacquet,1004301,€55.00m,"Jul 13, 2005",20,1.9,France,Centre-Back,Stade Rennais,,"Jan 1, 2024","Jun 30, 2029",FR1,25/26
Marquinhos,181767,€30.00m,"May 14, 1994",32,1.83,Brazil,Centre-Back,PSG,,"Jul 19, 2013","Jun 30, 2028",FR1,25/26
Ilan Kebbal,739769,€12.00m,"Jul 10, 1998",27,1.69,Algeria,Right Winger,Paris FC,,"Jul 10, 2023","Jun 30, 2028",FR1,25/26
Charlie Cresswell,597659,€25.00m,"Aug 17, 2002",23,1.9,England,Centre-Back,Toulouse,,"Jul 8, 2024","Jun 30, 2028",FR1,25/26
Adrien Thomasson,215977,€4.50m,"Dec 10, 1993",32,1.75,France,Central Midfield,Lens,,"Jan 12, 2023","Jun 30, 2026",FR1,25/26
