player,player_id,market_value,date_of_birth,age,height,nationality,position,team,signed_from,joined,contract_expires,league,season
Nico O'Reilly,743413,€50.00m,"Mar 21, 2005",21,1.93,England,Left-Back,Man City,,"Jul 1, 2024","Jun 30, 2030",GB1,25/26
David Raya,262749,€35.00m,"Sep 15, 1995",30,1.83,Spain,Goalkeeper,Arsenal,,"Jul 4, 2024","Jun 30, 2028",GB1,25/26
Mamadou Sarr,910905,€25.00m,"Aug 29, 2005",20,1.94,Senegal,Centre-Back,Chelsea,,"Jun 9, 2025","Jun 30, 2033",GB1,25/26
Stefan Bajcetic,864799,€5.00m,"Oct 22, 2004",21,1.85,Spain,Defensive Midfield,Liverpool,,"Jul 1, 2022","Jun 30, 2027",GB1,25/26
Alex Scott,855256,€40.00m,"Aug 21, 2003",22,1.78,England,Central Midfield,Bournemouth,,"Aug 10, 2023","Jun 30, 2028",GB1,25/26
John Ruddy,29712,€100k,"Oct 24, 1986",39,1.92,England,Goalkeeper,Newcastle,,"Jul 1, 2024","Jun 30, 2026",GB1,25/26
Vitaly Janelt,270171,€18.00m,"May 10, 1998",28,1.84,Germany,Defensive Midfield,Brentford,,"Oct 3, 2020","Jun 30, 2030",GB1,25/26
Christantus Uche,1124005,€15.00m,"May 19, 2003",22,1.9,Nigeria,Centre-Forward,Crystal Palace,,"Sep 1, 2025","Jun 30, 2026",GB1,25/26
Amad Diallo,536835,€50.00m,"Jul 11, 2002",23,1.73,Cote d'Ivoire,Right Winger,Man Utd,,"Jan 2, 2021","Jun 30, 2030",GB1,25/26
Levi Colwill,614258,€50.00m,"Feb 26, 2003",23,1.87,England,Centre-Back,Chelsea,,"Jul 1, 2022","Jun 30, 2029",GB1,25/26
Sandro Tonali,397033,€80.00m,"May 8, 2000",26,1.81,Italy,Defensive Midfield,Newcastle,,"Jul 3, 2023","Jun 30, 2028",GB1,25/26
Karl Darlow,99397,€200k,"Oct 8, 1990",35,1.9,Wales,Goalkeeper,Leeds,,"Jul 29, 2023","Jun 30, 2026",GB1,25/26
Giorgi Mamardashvili,502676,€28.00m,"Sep 29, 2000",25,1.97,Georgia,Goalkeeper,Liverpool,,"Aug 27, 2024","Jun 30, 2031",GB1,25/26
Stefanos Tzimas,950091,€20.00m,"Jan 6, 2006",20,1.86,Greece,Centre-Forward,Brighton,,"Feb 3, 2025","Jun 30, 2030",GB1,25/26
Jordan Henderson,61651,€2.00m,"Jun 17, 1990",35,1.82,England,Defensive Midfield,Brentford,,"Jul 15, 2025","Jun 30, 2027",GB1,25/26
Oscar Bobb,661207,€30.00m,"Jul 12, 2003",22,1.75,Norway,Right Winger,Fulham,,"Jan 30, 2026","Jun 30, 2031",GB1,25/26
Dilane Bakwa,540664,€28.00m,"Aug 26, 2002",23,1.8,France,Right Winger,Nott'm Forest,,"Sep 1, 2025","Jun 30, 2030",GB1,25/26
Rico Lewis,701057,€32.00m,"Nov 21, 2004",21,1.7,England,Right-Back,Man City,,"Jul 1, 2022","Jun 30, 2030",GB1,25/26
Omar Alderete,353032,€15.00m,"Dec 26, 1996",29,1.88,Paraguay,Centre-Back,Sunderland,,"Aug 12, 2025","Jun 30, 2029",GB1,25/26
