player,player_id,market_value,date_of_birth,age,height,nationality,position,team,signed_from,joined,contract_expires,league,season
Konstantinos Koulierakis,669380,€25.00m,"Nov 28, 2003",22,1.88,Greece,Centre-Back,Wolfsburg,,"Aug 30, 2024","Jun 30, 2029",L1,25/26
Stefan Bell,82350,€600k,"Aug 24, 1991",34,1.92,Germany,Centre-Back,Mainz,,"Jul 1, 2010","Jun 30, 2027",L1,25/26
Julian Ryerson,370789,€25.00m,"Nov 17, 1997",28,1.83,Norway,Right-Back,Dortmund,,"Jan 17, 2023","Jun 30, 2028",L1,25/26
Ben Voll,453742,€500k,"Dec 9, 2000",25,1.95,Germany,Goalkeeper,St. Pauli,,"Jul 1, 2024",-,L1,25/26
Ramon Hendriks,436064,€20.00m,"Jul 18, 2001",24,1.89,Netherlands,Centre-Back,Stuttgart,,"Jul 1, 2024","Jun 30, 2028",L1,25/26
Victor Boniface,656681,€5.00m,"Dec 23, 2000",25,1.9,Nigeria,Centre-Forward,Werder Bremen,,"Sep 1, 2025","Jun 30, 2026",L1,25/26
Max Moerstedt,923595,€7.00m,"Jan 15, 2006",20,1.94,Germany,Centre-Forward,Hoffenheim,,"Jan 1, 2024","Jun 30, 2030",L1,25/26
Jesper Lindstrøm,513245,€5.00m,"Feb 29, 2000",26,1.82,Denmark,Right Winger,Wolfsburg,,"Jul 23, 2025","Jun 30, 2026",L1,25/26
Ansgar Knauff,429874,€15.00m,"Jan 10, 2002",24,1.8,Germany,Right Winger,Frankfurt,,"Jul 1, 2023","Jun 30, 2028",L1,25/26
Badredine Bouanani,707242,€12.00m,"Dec 8, 2004",21,1.77,Algeria,Right Winger,Stuttgart,,"Aug 31, 2025","Jun 30, 2030",L1,25/26
Patrick Mainka,133731,€2.50m,"Nov 6, 1994",31,1.94,Germany,Centre-Back,Heidenheim,,"Jul 1, 2018","Jun 30, 2029",L1,25/26
Eric Martel,597000,€8.00m,"Apr 29, 2002",24,1.88,Germany,Defensive Midfield,1.FC Köln,,"Jul 1, 2022","Jun 30, 2026",L1,25/26
Romano Schmid,346853,€15.00m,"Jan 27, 2000",26,1.68,Austria,Attacking Midfield,Werder Bremen,,"Jan 3, 2019","Jun 30, 2027",L1,25/26
Lennart Karl,1075147,€60.00m,"Feb 22, 2008",18,1.68,Germany,Attacking Midfield,Bayern Munich,,"Jun 1, 2025","Jun 30, 2029",L1,25/26
Lukas Klostermann,215599,€3.50m,"Jun 3, 1996",29,1.89,Germany,Centre-Back,Leipzig,,"Aug 22, 2014","Jun 30, 2028",L1,25/26
Ramon Hendriks,436064,€20.00m,"Jul 18, 2001",24,1.89,Netherlands,Centre-Back,Stuttgart,,"Jul 1, 2024","Jun 30, 2028",L1,25/26
Jan Olschowsky,455922,€450k,"Nov 18, 2001",24,1.84,Germany,Goalkeeper,Mönchengladbach,,"Jul 13, 2020","Jun 30, 2027",L1,25/26
Silvan Widmer,168989,€800k,"Mar 5, 1993",33,1.83,Switzerland,Right-Back,Mainz,,"Jul 9, 2021",-,L1,25/26
Joël Schmied,322517,€3.50m,"Sep 23, 1998",27,1.88,Switzerland,Centre-Back,1.FC Köln,,"Jan 13, 2025","Jun 30, 2029",L1,25/26
Eric Smith,292534,€5.00m,"Jan 8, 1997",29,1.92,Sweden,Centre-Back,St. Pauli,,"Jul 1, 2021","Jun 30, 2027",L1,25/26
Loïc Badé,730581,€25.00m,"Apr 11, 2000",26,1.91,France,Centre-Back,Leverkusen,,"Aug 21, 2025","Jun 30, 2030",L1,25/26
Mahmoud Dahoud,191422,€2.00m,"Jan 1, 1996",30,1.78,Syria,Central Midfield,Frankfurt,,"Aug 30, 2024","Jun 30, 2026",L1,25/26
