player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Aiman Dardari,Augsburg,0,0.05606662854552269,0,0.0,1,0,0.05606662854552269,0.0,Bundesliga,25/26
Alexis Claude Maurice,Augsburg,5,6.339031929150224,4,3.215671157464385,71,32,10.869376560673118,5.332539309747517,Bundesliga,25/26
Anton Kade,Augsburg,6,6.7122930232435465,0,3.0941985473036766,48,25,10.916635751724243,1.8429135736078024,Bundesliga,25/26
Arne Maier,Augsburg,0,0.0,0,0.0,0,0,0.0,0.0,Bundesliga,25/26
Arthur Chaves,Augsburg,2,1.0467653088271618,0,0.2324150362983346,5,4,1.9321790896356106,1.686458982527256,Bundesliga,25/26
Chrislain Matsima,Augsburg,1,0.5652054697275162,1,0.5844853427261114,7,4,2.2476043635979295,2.1535102361813188,Bundesliga,25/26
Cédric Zesiger,Augsburg,0,1.7500400636345148,0,0.5558719579130411,12,9,4.428809206932783,3.970293586142361,Bundesliga,25/26
Dimitris Giannoulis,Augsburg,2,0.9717476665973663,5,3.8624802585691214,10,33,6.426895641721785,3.064006181433797,Bundesliga,25/26
Elias Saad,Augsburg,0,0.37165308371186256,0,0.6210179030895233,6,12,1.412656469270587,0.5558570027351379,Bundesliga,25/26
Elvis Rexhbecaj,Augsburg,2,0.5392126142978668,0,0.7069284673780203,11,9,2.5775352735072374,1.4284834694117308,Bundesliga,25/26
Fabian Rieder,Augsburg,6,4.166463605128229,3,5.375069449655712,38,44,11.631565358489752,6.491243749856949,Bundesliga,25/26
Finn Dahmen,Augsburg,0,0.6633901596069336,0,0.29693676345050335,1,4,4.446497203782201,4.14956040866673,Bundesliga,25/26
Han-Noah Massengo,Augsburg,2,1.7316314969211817,1,1.635585960932076,20,17,8.934063652530313,5.818135930225253,Bundesliga,25/26
Ismaël Gharbi,Augsburg,0,0.22596237063407898,0,0.03212403133511543,3,1,0.1278797946870327,0.060474079102277756,Bundesliga,25/26
Jeffrey Gouweleeuw,Augsburg,0,0.23693389631807804,1,0.378789821639657,5,5,1.2999653723090887,1.004734518006444,Bundesliga,25/26
Keven Schlotterbeck,Augsburg,0,1.3001904971897602,1,1.029070470482111,12,12,5.31422508880496,4.888037363067269,Bundesliga,25/26
Kristijan Jakic,Augsburg,2,1.4403803190216422,1,1.360763007774949,18,13,4.3531388053670526,3.167064012028277,Bundesliga,25/26
Mads Pedersen,Augsburg,0,0.16506886668503284,0,0.14851025491952896,3,4,1.0306250602006912,0.7902142554521561,Bundesliga,25/26
Marius Wolf,Augsburg,1,1.7143956972286105,1,3.691459383815527,14,21,4.361116588115692,1.4035527957603335,Bundesliga,25/26
Mert Kömür,Augsburg,2,4.645504482090473,4,2.76681075245142,41,21,7.051191717386246,1.7611310807988048,Bundesliga,25/26
Michael Gregoritsch,Augsburg,6,6.215451763942838,2,1.5184729620814323,29,7,6.945263855159283,2.2028554063290358,Bundesliga,25/26
Noahkai Banks,Augsburg,1,1.2308643972501159,1,0.9259122600778937,9,7,4.726021298207343,3.706311522051692,Bundesliga,25/26
Phillip Tietz,Augsburg,6,11.598579058423638,2,1.9211469320580363,51,19,15.156334765255451,4.183608392253518,Bundesliga,25/26
Robin Fellhauer,Augsburg,3,2.5917708398774266,2,2.142268791794777,29,31,8.661767035722733,4.585818454623222,Bundesliga,25/26
Rodrigo Ribeiro,Augsburg,2,4.629444479942322,0,0.026682153344154358,26,1,5.407829083502293,1.2390874158591032,Bundesliga,25/26
Samuel Essende,Augsburg,1,1.4566263109445572,0,0.4276743633672595,17,4,1.6914420491084456,0.13694370351731777,Bundesliga,25/26
Tim Schnitzer,Augsburg,0,0.0,0,0.0,0,0,0.0,0.0,Bundesliga,25/26
Uchenna Ogundu,Augsburg,0,0.15869352221488953,0,0.0,3,0,0.2753217816352844,0.1592796854674816,Bundesliga,25/26
Yannik Keitel,Augsburg,0,0.0,0,0.0,0,0,0.5297181829810143,0.5297181829810143,Bundesliga,25/26
