player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Ben White,Arsenal,0,0.28292371705174446,1,1.557781394571066,5,8,4.4763969369232655,3.1786205284297466,EPL,25/26
Bukayo Saka,Arsenal,7,8.701195661909878,5,8.552797641605139,71,62,19.112561374902725,8.03783930838108,EPL,25/26
Christian Nørgaard,Arsenal,0,0.0686947088688612,0,0.0,2,0,0.8206457383930683,0.7719039916992188,EPL,25/26
Cristhian Mosquera,Arsenal,0,0.08585410565137863,0,0.29345311783254147,1,5,5.388046391308308,5.184731021523476,EPL,25/26
David Raya,Arsenal,0,0.0,0,0.1493939720094204,0,3,6.412498269230127,6.3215070478618145,EPL,25/26
Declan Rice,Arsenal,4,3.7209608871489763,5,8.159449681639671,40,63,18.490907587110996,12.956868270412087,EPL,25/26
Eberechi Eze,Arsenal,7,4.807457456365228,2,2.63351690210402,63,17,10.355983335524797,4.074069639667869,EPL,25/26
Ethan Nwaneri,Arsenal,0,0.3292111651971936,0,0.048408184200525284,6,1,1.166222719475627,0.9847383946180344,EPL,25/26
Gabriel,Arsenal,3,4.649077512323856,4,2.7250300347805023,27,7,8.894044917076826,8.309922948479652,EPL,25/26
Gabriel Jesus,Arsenal,3,3.9764807410538197,0,0.20858897641301155,19,3,4.36402528360486,1.2694791033864021,EPL,25/26
Gabriel Martinelli,Arsenal,1,5.357063241302967,4,2.569171307608485,29,13,10.0232590213418,3.6065212953835726,EPL,25/26
Jurriën Timber,Arsenal,3,4.030840836465359,5,2.5891424333676696,25,28,11.438589019700885,8.65939543582499,EPL,25/26
Kai Havertz,Arsenal,2,4.895509898662567,3,1.456983646377921,18,11,4.521999087184668,0.751641895622015,EPL,25/26
Kepa,Arsenal,0,0.0,0,0.0,0,0,0.6973354816436768,0.6973354816436768,EPL,25/26
Leandro Trossard,Arsenal,6,6.75317111518234,6,4.988008487969637,53,36,13.572629373520613,4.960563652217388,EPL,25/26
Martin Odegaard,Arsenal,1,1.219119856134057,6,4.978420486673713,22,38,11.73396972939372,7.5888855922967196,EPL,25/26
Martín Zubimendi,Arsenal,5,2.944296659901738,1,1.087823610752821,27,19,13.476701468229294,11.17571103386581,EPL,25/26
Max Dowman,Arsenal,1,0.6690445654094219,0,0.6337551325559616,6,4,1.6155864782631397,0.4801681600511074,EPL,25/26
Mikel Merino,Arsenal,4,5.217843644320965,3,2.2901399955153465,22,12,8.36886066198349,3.8121333681046963,EPL,25/26
Myles Lewis-Skelly,Arsenal,0,0.12569395825266838,0,0.17853078991174698,2,4,2.1258894726634026,1.9670009650290012,EPL,25/26
Noni Madueke,Arsenal,2,1.9964179322123528,1,4.010977517813444,25,22,6.728137206286192,3.293942168354988,EPL,25/26
Piero Hincapié,Arsenal,1,0.4126348299905658,2,2.1274072602391243,3,13,8.479371219873428,6.883014105260372,EPL,25/26
Riccardo Calafiori,Arsenal,1,3.469513338059187,2,0.6484237592667341,32,9,8.157827861607075,6.558366058394313,EPL,25/26
Viktor Gyokeres,Arsenal,14,13.871430788189173,1,2.6537387324497104,55,20,14.775203138589859,3.2595408838242292,EPL,25/26
William Saliba,Arsenal,1,1.5777585953474045,0,1.306027840822935,5,10,11.017331045120955,10.501945996657014,EPL,25/26
Alysson Edward,Aston Villa,0,0.05279543623328209,0,0.0,1,0,0.1039408203214407,0.05114538408815861,EPL,25/26
Amadou Onana,Aston Villa,2,2.772524105384946,0,0.5039298757910728,19,7,6.815283706411719,5.313166355714202,EPL,25/26
Andrés García,Aston Villa,0,0.0,0,0.0,0,0,0.43621760606765747,0.43621760606765747,EPL,25/26
Boubacar Kamara,Aston Villa,1,1.0521572744473815,3,0.7290232917293906,7,15,5.69795267097652,4.270241666585207,EPL,25/26
