player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Abdoulaye Bamba,Angers,0,0.014829288236796856,0,0.0,1,0,0.384023517370224,0.36919423937797546,Ligue_1,25/26
Amine Sbaï,Angers,3,4.347094478085637,1,2.760798776522279,34,27,8.644016150385141,3.04599804058671,Ligue_1,25/26
Bané Diatta,Angers,0,0.0,0,0.0,0,0,0.0,0.0,Ligue_1,25/26
Branco van den Boomen,Angers,0,1.0635485812090337,1,2.3352177385240793,13,28,5.750964725390077,4.139429623261094,Ligue_1,25/26
Carlens Arcus,Angers,0,0.2048528864979744,3,2.0858899280428886,9,16,8.311523443087935,7.4888695646077394,Ligue_1,25/26
Dan Sinaté,Angers,0,0.059151530265808105,0,0.0,1,0,0.08462411910295486,0.02547258511185646,Ligue_1,25/26
Djibirin Harouna,Angers,2,1.2620018012821674,1,0.6283082962036133,7,4,1.8520428966730833,0.45256850868463516,Ligue_1,25/26
Emmanuel Biumla,Angers,0,0.04909379407763481,0,0.0,2,0,0.22142133489251137,0.1817069798707962,Ligue_1,25/26
Esteban Lepaul,Angers,21,15.734724316745996,5,3.3852440919727087,87,23,17.0145684145391,4.0013463869690895,Ligue_1,25/26
Florent Hanin,Angers,0,0.07464494742453098,0,0.7792584672570229,3,8,3.0628660544753075,2.31902040168643,Ligue_1,25/26
Goduine Koyalipou,Angers,2,3.3784401938319206,1,0.304029518738389,22,5,3.393016342073679,0.8722083270549774,Ligue_1,25/26
Haris Belkebla,Angers,0,0.1648719646036625,0,0.588433382101357,5,16,6.914338298141956,6.294488521292806,Ligue_1,25/26
Himad Abdelli,Angers,2,1.9301752112805843,0,0.554893160238862,15,9,6.202800817787647,5.655766012147069,Ligue_1,25/26
Jacques Ekomie,Angers,0,1.0237290244549513,0,1.394510144367814,13,12,4.699804873205721,2.860295772086829,Ligue_1,25/26
Jim Allevinah,Angers,1,0.7092178463935852,0,0.02793130837380886,5,1,0.8133896142244339,0.07624046504497528,Ligue_1,25/26
Jordan Lefort,Angers,0,0.6379672419279814,2,0.8968721181154251,11,8,8.235661486163735,7.759192215278745,Ligue_1,25/26
Justin-Noel Kalumba,Angers,0,0.016442036256194115,0,0.26698354072868824,1,4,0.3195158392190933,0.10835594683885574,Ligue_1,25/26
Kouakou Herve Koffi,Angers,0,0.0,0,0.0,0,0,4.953274139203131,4.953274139203131,Ligue_1,25/26
Lanroy Machine,Angers,1,1.794658513739705,0,0.18798801396042109,15,4,2.86862790863961,0.9908866072073579,Ligue_1,25/26
Lilian Raolisoa,Angers,2,1.03963359631598,4,3.5283372923731804,16,22,8.350225617177784,4.537761720828712,Ligue_1,25/26
Louis Mouton,Angers,2,3.078808242455125,1,2.3375241328030825,36,22,7.97324248123914,3.225932060740888,Ligue_1,25/26
Marius Courcoul,Angers,0,0.05313415080308914,0,0.13149469066411257,2,3,0.9409099230542779,0.7930673100054264,Ligue_1,25/26
Marius Louãr,Angers,0,0.0,0,0.22550999373197556,0,4,0.7833105176687241,0.6050125956535339,Ligue_1,25/26
Melvin Zinga,Angers,0,0.0,0,0.0,0,0,0.36567629501223564,0.36567629501223564,Ligue_1,25/26
Oumar Pona,Angers,0,0.0,0,0.0,0,0,0.44770078361034393,0.44770078361034393,Ligue_1,25/26
Ousmane Camara,Angers,1,0.6418565474450588,0,0.25019954331219196,13,4,7.059348467737436,6.810051258653402,Ligue_1,25/26
Pierrick Capelle,Angers,0,0.7181477919220924,1,0.6064471378922462,10,6,2.7191668786108494,1.6408849731087685,Ligue_1,25/26
Prosper Peter,Angers,5,6.074337815865874,0,0.8983762171119452,23,11,7.393127646297216,0.566795882768929,Ligue_1,25/26
Sidiki Chérif,Angers,4,2.8283863738179207,0,0.6020375601947308,28,5,5.694960653781891,2.5473209153860807,Ligue_1,25/26
Yassin Belkhdim,Angers,2,2.30356415361166,2,1.5286035342141986,33,15,7.509297637268901,4.55259077064693,Ligue_1,25/26
Assane Diousse,Auxerre,0,0.15603983029723167,0,0.1471826359629631,4,3,0.8970118267461658,0.7924451166763902,Ligue_1,25/26
Bryan Okoh,Auxerre,3,0.9676289018243551,0,0.2563950940966606,8,3,1.8299480453133583,1.6139809861779213,Ligue_1,25/26
Clément Akpa,Auxerre,0,0.23579978570342064,0,0.42328276485204697,6,9,2.524600649252534,2.4244638979434967,Ligue_1,25/26
Danny Namaso,Auxerre,3,7.317179087549448,3,3.9502968033775687,61,32,11.781863667070866,4.277199324220419,Ligue_1,25/26
Donovan Léon,Auxerre,0,0.0,0,0.06488649547100067,0,1,1.6310187000781298,1.5661322008818388,Ligue_1,25/26
Elisha Owusu,Auxerre,0,0.1431004349142313,0,1.0085062738507986,7,12,5.528114141896367,4.889742797240615,Ligue_1,25/26
Francisco Sierralta,Auxerre,1,0.7252583894878626,0,0.038721200078725815,7,1,1.4416037444025278,1.4416037444025278,Ligue_1,25/26
Fredrik Oppegård,Auxerre,0,0.5601710639894009,0,0.6256506145000458,10,11,2.55569008924067,1.6407343791797757,Ligue_1,25/26
Gabriel Osho,Auxerre,0,0.0,0,0.0,0,0,0.650982778519392,0.650982778519392,Ligue_1,25/26
Gideon Mensah,Auxerre,0,0.01311845239251852,2,1.6474777832627296,1,17,5.018066395074129,4.069401972927153,Ligue_1,25/26
Ibrahim Osman,Auxerre,0,1.9371187165379524,2,1.1821768693625927,18,7,3.7771418634802103,1.6237635500729084,Ligue_1,25/26
Josué Casimir,Auxerre,1,2.7384571619331837,0,1.4077786430716515,22,10,5.288893414661288,2.5423824563622475,Ligue_1,25/26
Kévin Danois,Auxerre,3,2.123984556645155,1,4.617172429338098,25,52,9.194329353049397,5.501396361738443,Ligue_1,25/26
Lamine Sy,Auxerre,0,1.06524639390409,0,1.4679450262337923,13,13,4.671046022325754,2.8898561857640743,Ligue_1,25/26
Lassine Sinayoko,Auxerre,12,13.613020814955235,4,4.946237799711525,93,40,15.242396891117096,3.0789404874667525,Ligue_1,25/26
Lasso Coulibaly,Auxerre,0,0.2644320409744978,0,0.2651809938251972,3,4,0.48086678236722946,0.11180762201547623,Ligue_1,25/26
Mamoudou Cissokho,Auxerre,0,0.0,0,0.0,0,0,0.0,0.0,Ligue_1,25/26
Marvin Senaya,Auxerre,1,1.403174713253975,0,0.23766765743494034,15,6,2.5818513203412294,2.269769674167037,Ligue_1,25/26
Naouirou Ahamada,Auxerre,0,0.42560575902462006,1,0.43686695769429207,6,6,1.4489535465836525,0.5864808410406113,Ligue_1,25/26
Oussama El Azzouzi,Auxerre,1,0.6952410852536559,0,0.5211914069950581,5,9,1.5860830247402191,0.8512548767030239,Ligue_1,25/26
Romain Faivre,Auxerre,0,0.42545729875564575,2,1.0503338649868965,11,10,0.9647739827632904,0.6326931342482567,Ligue_1,25/26
Rudy Matondo,Auxerre,2,1.8190970439463854,0,0.2419236395508051,13,5,3.063255394808948,2.4010575069114566,Ligue_1,25/26
Ryan Rodin,Auxerre,0,0.0,0,0.0,0,0,0.08441749215126038,0.08441749215126038,Ligue_1,25/26
Sinaly Diomande,Auxerre,2,2.9510611221194267,2,0.5142716225236654,9,5,2.522182999178767,2.470422202721238,Ligue_1,25/26
Sékou Mara,Auxerre,3,3.05426874384284,2,1.0970151722431183,33,9,5.127975841984153,1.3498488226905465,Ligue_1,25/26
Telli Siwe,Auxerre,0,0.0661855973303318,0,0.03867689147591591,2,1,0.06169006787240505,0.023013176396489143,Ligue_1,25/26
Theo Bair,Auxerre,0,0.0,0,0.0,0,0,0.0,0.0,Ligue_1,25/26
