league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result,league,season
1,2025,28778,2025-08-15 19:00:00,637503,73,11363,731590,Adrien Truffert,0.3169209659099579,0.9080000305175782,0.44400001525878907,5,Right Foot,Open Play,Missed Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637519,73,11363,731595,David Brooks,0.42599424719810486,0.9080000305175782,0.5129999923706055,63,Left Foot,Open Play,Goal,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637523,73,11363,731599,Hamed Junior Traore,0.09559009969234467,0.825,0.4829999923706055,75,Left Foot,Open Play,Goal,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637509,73,6820,,,0.038630276918411255,0.855,0.685,41,Right Foot,Open Play,Blocked Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637521,73,6820,731594,Marcus Tavernier,0.07709097117185593,0.8959999847412109,0.63,70,Left Foot,Open Play,Blocked Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637504,73,12963,731595,David Brooks,0.071727454662323,0.9490000152587891,0.4109999847412109,9,,From Corner,Missed Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637512,73,12963,731595,David Brooks,0.09731415659189224,0.8769999694824219,0.6559999847412109,48,Left Foot,Open Play,Missed Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637522,73,12963,731588,Marcos Senesi,0.05321967601776123,0.9119999694824219,0.595,70,,Open Play,Missed Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637506,73,10741,731587,Adam Smith,0.35100075602531433,0.87,0.5209999847412109,34,Right Foot,Open Play,Saved Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637510,73,10741,,,0.045542508363723755,0.75,0.315,46,Left Foot,Direct Freekick,Blocked Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637515,87,8379,731578,Florian Wirtz,0.027150798588991165,0.76,0.34799999237060547,51,Right Foot,Open Play,Saved Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637514,87,11296,731580,Hugo Ekitike,0.0957067683339119,0.850999984741211,0.49200000762939455,48,Right Foot,Open Play,Goal,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637520,87,11296,731576,Dominik Szoboszlai,0.03299751132726669,0.8519999694824218,0.7609999847412109,69,Right Foot,Open Play,Saved Shot,EPL,25/26
1,2025,28778,2025-08-15 19:00:00,637526,87,11296,,,0.07005230337381363,0.909000015258789,0.624000015258789,87,Right Foot,Set Piece,Missed Shot,EPL,25/26
