league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result,league,season
4,2025,29158,2025-08-15 17:00:00,637542,223,10952,731609,Viktor Tsygankov,0.5180198550224304,0.9119999694824219,0.5790000152587891,56,Right Foot,Open Play,Goal,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637545,223,12721,731614,Portu,0.12153472751379013,0.9380000305175781,0.455,72,,From Corner,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637547,223,6118,,,0.07796908915042877,0.879000015258789,0.4520000076293945,78,Right Foot,Set Piece,Blocked Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637546,223,3425,,,0.026325639337301254,0.76,0.5229999923706055,73,Left Foot,Open Play,Saved Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637548,223,3425,731609,Viktor Tsygankov,0.017431804910302162,0.7440000152587891,0.4379999923706055,81,Left Foot,Open Play,Blocked Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637534,223,7350,731609,Viktor Tsygankov,0.018670575693249702,0.7809999847412109,0.3110000038146973,23,Right Foot,Open Play,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637535,223,13005,,,0.015352313406765461,0.754000015258789,0.35400001525878905,27,Left Foot,Open Play,Blocked Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637529,145,5073,731624,Isi Palazón,0.018711484968662262,0.8919999694824219,0.47700000762939454,10,,From Corner,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637550,145,5073,731624,Isi Palazón,0.09062767028808594,0.9419999694824219,0.565,97,Left Foot,Set Piece,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637536,145,9812,,,0.7432776093482971,0.885,0.5,44,Left Foot,,Goal,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637538,145,9812,731621,Pep Chavarría,0.01360898744314909,0.875,0.4109999847412109,50,,Open Play,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637531,145,8107,731618,Andrei Ratiu,0.13669876754283905,0.925,0.44299999237060544,16,Left Foot,Open Play,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637532,145,8107,,,0.5869128704071045,0.9630000305175781,0.445,17,Right Foot,Open Play,Goal,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637537,145,9815,731626,Álvaro García,0.4513319134712219,0.8809999847412109,0.5970000076293945,48,Right Foot,Open Play,Saved Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637551,145,9815,,,0.07840021699666977,0.9009999847412109,0.509000015258789,97,Right Foot,Set Piece,Blocked Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637530,145,12863,731623,Unai López,0.014120400883257389,0.715999984741211,0.4109999847412109,12,Right Foot,Open Play,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637540,145,12863,,,0.014949648641049862,0.7230000305175781,0.515,53,Right Foot,From Corner,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637543,145,12864,731624,Isi Palazón,0.05708131566643715,0.909000015258789,0.5770000076293945,60,,From Corner,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637541,145,11087,731624,Isi Palazón,0.02281750738620758,0.735,0.6480000305175782,55,Left Foot,Open Play,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637544,145,11087,731625,Pedro Díaz,0.06257011741399765,0.8530000305175781,0.6869999694824219,65,Left Foot,Open Play,Blocked Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637539,145,4091,731621,Pep Chavarría,0.017879988998174667,0.6930000305175781,0.5479999923706055,47,Right Foot,Open Play,Missed Shot,La_liga,25/26
4,2025,29158,2025-08-15 17:00:00,637533,145,7071,731627,Jorge De Frutos,0.8397001028060913,0.970999984741211,0.49400001525878906,19,Left Foot,Open Play,Goal,La_liga,25/26
